baseline seed 11 (Continent), 5.97 s: land 0.240 km², highest 34.5 m; slope flat 6 %, gentle 14 %, moderate 34 %, steep 46 %; pits 4089 (4.3/1000, 235 ≥1 m); cliff steps 7.9 %; coast 18356 cells, beach 25 %
baseline seed 23 (Continent), 5.50 s: land 0.242 km², highest 34.0 m; slope flat 6 %, gentle 13 %, moderate 33 %, steep 47 %; pits 4247 (4.4/1000, 268 ≥1 m); cliff steps 7.8 %; coast 15583 cells, beach 20 %
baseline seed 37 (Continent), 5.54 s: land 0.224 km², highest 33.5 m; slope flat 5 %, gentle 12 %, moderate 33 %, steep 49 %; pits 4427 (4.9/1000, 268 ≥1 m); cliff steps 8.1 %; coast 19306 cells, beach 24 %
baseline seed 58 (Continent), 5.76 s: land 0.267 km², highest 30.5 m; slope flat 7 %, gentle 15 %, moderate 35 %, steep 43 %; pits 4406 (4.1/1000, 384 ≥1 m); cliff steps 6.6 %; coast 16069 cells, beach 20 %
phase2 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %), 5.65 s: land 0.233 km², highest 36.5 m; slope flat 30 %, gentle 19 %, moderate 26 %, steep 26 %; pits 737 (0.8/1000, 70 ≥1 m); cliff steps 3.5 %; coast 19746 cells, beach 64 %
phase2 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %), 5.49 s: land 0.236 km², highest 37.5 m; slope flat 24 %, gentle 19 %, moderate 27 %, steep 30 %; pits 473 (0.5/1000, 10 ≥1 m); cliff steps 4.3 %; coast 16761 cells, beach 69 %
phase2 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %), 5.64 s: land 0.219 km², highest 40.5 m; slope flat 19 %, gentle 16 %, moderate 27 %, steep 39 %; pits 1455 (1.7/1000, 154 ≥1 m); cliff steps 6.9 %; coast 21405 cells, beach 53 %
phase2 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %), 5.86 s: land 0.261 km², highest 35.5 m; slope flat 23 %, gentle 19 %, moderate 28 %, steep 31 %; pits 977 (0.9/1000, 145 ≥1 m); cliff steps 4.9 %; coast 17511 cells, beach 57 %
phase2 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %), 5.71 s: land 0.233 km², highest 36.0 m; slope flat 32 %, gentle 21 %, moderate 25 %, steep 22 %; pits 364 (0.4/1000, 11 ≥1 m); cliff steps 2.9 %; coast 19179 cells, beach 67 %
phase2 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %), 5.55 s: land 0.236 km², highest 34.5 m; slope flat 28 %, gentle 20 %, moderate 25 %, steep 27 %; pits 369 (0.4/1000, 4 ≥1 m); cliff steps 4.1 %; coast 17400 cells, beach 71 %
phase2 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %), 5.55 s: land 0.217 km², highest 33.5 m; slope flat 22 %, gentle 17 %, moderate 25 %, steep 36 %; pits 905 (1.0/1000, 98 ≥1 m); cliff steps 6.1 %; coast 22482 cells, beach 61 %
phase2 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %), 5.57 s: land 0.260 km², highest 35.5 m; slope flat 27 %, gentle 20 %, moderate 25 %, steep 28 %; pits 676 (0.6/1000, 60 ≥1 m); cliff steps 4.4 %; coast 18827 cells, beach 61 %
phase3 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %; erosion moved 0.66 m on average, 20740 cells filled), 6.15 s: land 0.218 km², highest 32.5 m; slope flat 44 %, gentle 17 %, moderate 21 %, steep 18 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 1.7 %; coast 18508 cells, beach 66 %
phase3 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %; erosion moved 0.54 m on average, 20339 cells filled), 6.04 s: land 0.261 km², highest 33.0 m; slope flat 49 %, gentle 17 %, moderate 21 %, steep 12 %; pits 5 (0.0/1000, 0 ≥1 m); cliff steps 1.3 %; coast 15480 cells, beach 66 %
phase4 seed 11 (Continent; plains 47 %, hills 40 %, mountains 14 %; erosion moved 0.42 m on average, 7117 cells filled), 6.44 s: land 0.235 km², highest 34.5 m; slope flat 55 %, gentle 18 %, moderate 19 %, steep 9 %; pits 0 (0.0/1000, 0 ≥1 m); cliff steps 0.5 %; coast 15235 cells, beach 80 %
phase4 seed 23 (Continent; plains 45 %, hills 35 %, mountains 19 %; erosion moved 0.54 m on average, 10019 cells filled), 6.17 s: land 0.238 km², highest 32.0 m; slope flat 49 %, gentle 18 %, moderate 21 %, steep 12 %; pits 3 (0.0/1000, 0 ≥1 m); cliff steps 0.8 %; coast 13562 cells, beach 82 %
phase4 seed 37 (Continent; plains 30 %, hills 42 %, mountains 28 %; erosion moved 0.65 m on average, 12604 cells filled), 6.41 s: land 0.220 km², highest 32.5 m; slope flat 45 %, gentle 17 %, moderate 21 %, steep 17 %; pits 7 (0.0/1000, 0 ≥1 m); cliff steps 1.6 %; coast 17288 cells, beach 65 %
phase4 seed 58 (Continent; plains 43 %, hills 33 %, mountains 24 %; erosion moved 0.53 m on average, 30362 cells filled), 6.40 s: land 0.264 km², highest 35.0 m; slope flat 52 %, gentle 17 %, moderate 21 %, steep 11 %; pits 8 (0.0/1000, 0 ≥1 m); cliff steps 1.1 %; coast 13823 cells, beach 69 %
phase4 seed 11 (Continent; plains 40 %, hills 47 %, mountains 13 %; cliff coast 18 % at 9.4 m; erosion moved 0.54 m on average, 26300 cells filled), 6.45 s: land 0.237 km², highest 34.5 m; slope flat 54 %, gentle 15 %, moderate 17 %, steep 13 %; pits 8 (0.0/1000, 0 ≥1 m); cliff steps 1.5 %; coast 15382 cells, beach 62 %
phase4 seed 23 (Continent; plains 41 %, hills 38 %, mountains 20 %; cliff coast 28 % at 8.8 m; erosion moved 0.71 m on average, 14503 cells filled), 6.09 s: land 0.240 km², highest 32.5 m; slope flat 45 %, gentle 17 %, moderate 21 %, steep 18 %; pits 10 (0.0/1000, 0 ≥1 m); cliff steps 1.9 %; coast 13695 cells, beach 55 %
phase4 seed 37 (Continent; plains 42 %, hills 42 %, mountains 16 %; cliff coast 29 % at 8.0 m; erosion moved 0.56 m on average, 19984 cells filled), 6.06 s: land 0.222 km², highest 32.5 m; slope flat 55 %, gentle 14 %, moderate 16 %, steep 16 %; pits 8 (0.0/1000, 0 ≥1 m); cliff steps 1.9 %; coast 17456 cells, beach 59 %
phase4 seed 58 (Continent; plains 44 %, hills 39 %, mountains 18 %; cliff coast 33 % at 6.4 m; erosion moved 0.55 m on average, 47735 cells filled), 6.26 s: land 0.265 km², highest 34.5 m; slope flat 54 %, gentle 15 %, moderate 18 %, steep 12 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 1.4 %; coast 14023 cells, beach 56 %
phase4 seed 11 (Continent; plains 40 %, hills 47 %, mountains 13 %; cliff coast 18 % at 9.4 m; erosion moved 0.49 m on average, 10467 cells filled), 6.86 s: land 0.237 km², highest 34.5 m; slope flat 55 %, gentle 16 %, moderate 18 %, steep 11 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 3.2 %; coast 15369 cells, beach 61 %
phase4 seed 23 (Continent; plains 41 %, hills 38 %, mountains 20 %; cliff coast 28 % at 8.8 m; erosion moved 0.65 m on average, 13793 cells filled), 6.89 s: land 0.240 km², highest 34.5 m; slope flat 46 %, gentle 18 %, moderate 22 %, steep 15 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 4.3 %; coast 13638 cells, beach 52 %
phase4 seed 37 (Continent; plains 42 %, hills 42 %, mountains 16 %; cliff coast 29 % at 8.0 m; erosion moved 0.55 m on average, 17591 cells filled), 6.83 s: land 0.222 km², highest 32.5 m; slope flat 55 %, gentle 15 %, moderate 16 %, steep 14 %; pits 9 (0.0/1000, 0 ≥1 m); cliff steps 4.8 %; coast 17453 cells, beach 52 %
phase4 seed 58 (Continent; plains 44 %, hills 39 %, mountains 18 %; cliff coast 33 % at 6.4 m; erosion moved 0.52 m on average, 42722 cells filled), 6.87 s: land 0.265 km², highest 36.0 m; slope flat 55 %, gentle 16 %, moderate 19 %, steep 11 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 3.5 %; coast 13804 cells, beach 48 %
phase4b seed 11 (Continent; plains 40 %, hills 47 %, mountains 13 %; cliff coast 18 % at 9.4 m; crest 51 m; erosion moved 0.64 m on average, 11120 cells filled), 7.15 s: land 0.237 km², highest 51.5 m; slope flat 52 %, gentle 16 %, moderate 17 %, steep 15 %; pits 5 (0.0/1000, 0 ≥1 m); cliff steps 5.4 %; coast 15372 cells, beach 60 %
phase4b seed 23 (Continent; plains 41 %, hills 38 %, mountains 20 %; cliff coast 28 % at 8.8 m; crest 47 m; erosion moved 0.86 m on average, 13173 cells filled), 6.90 s: land 0.240 km², highest 50.0 m; slope flat 43 %, gentle 17 %, moderate 20 %, steep 20 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 7.2 %; coast 13633 cells, beach 52 %
phase4b seed 37 (Continent; plains 42 %, hills 42 %, mountains 16 %; cliff coast 29 % at 8.0 m; crest 62 m; erosion moved 0.86 m on average, 32013 cells filled), 6.95 s: land 0.222 km², highest 57.5 m; slope flat 53 %, gentle 13 %, moderate 15 %, steep 19 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 9.5 %; coast 17462 cells, beach 52 %
phase4b seed 58 (Continent; plains 44 %, hills 39 %, mountains 18 %; cliff coast 33 % at 6.4 m; crest 47 m; erosion moved 0.69 m on average, 47645 cells filled), 7.30 s: land 0.265 km², highest 50.0 m; slope flat 53 %, gentle 15 %, moderate 18 %, steep 15 %; pits 0 (0.0/1000, 0 ≥1 m); cliff steps 6.1 %; coast 13803 cells, beach 48 %
phase4b seed 11 (Continent; plains 40 %, hills 47 %, mountains 13 %; cliff coast 18 % at 9.4 m; crest 51 m; erosion moved 0.64 m on average, 11120 cells filled), 8.73 s: land 0.237 km², highest 51.5 m; slope flat 52 %, gentle 16 %, moderate 17 %, steep 15 %; pits 5 (0.0/1000, 0 ≥1 m); cliff steps 5.4 %; coast 15372 cells, beach 60 %
phase4b seed 23 (Continent; plains 41 %, hills 38 %, mountains 20 %; cliff coast 28 % at 8.8 m; crest 47 m; erosion moved 0.86 m on average, 13173 cells filled), 8.01 s: land 0.240 km², highest 50.0 m; slope flat 43 %, gentle 17 %, moderate 20 %, steep 20 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 7.2 %; coast 13633 cells, beach 52 %
phase4b seed 37 (Continent; plains 42 %, hills 42 %, mountains 16 %; cliff coast 29 % at 8.0 m; crest 62 m; erosion moved 0.86 m on average, 32013 cells filled), 7.46 s: land 0.222 km², highest 57.5 m; slope flat 53 %, gentle 13 %, moderate 15 %, steep 19 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 9.5 %; coast 17462 cells, beach 52 %
phase4b seed 58 (Continent; plains 44 %, hills 39 %, mountains 18 %; cliff coast 33 % at 6.4 m; crest 47 m; erosion moved 0.69 m on average, 47645 cells filled), 7.80 s: land 0.265 km², highest 50.0 m; slope flat 53 %, gentle 15 %, moderate 18 %, steep 15 %; pits 0 (0.0/1000, 0 ≥1 m); cliff steps 6.1 %; coast 13803 cells, beach 48 %
phase4b seed 11 (Continent; plains 40 %, hills 47 %, mountains 13 %; cliff coast 18 % at 9.4 m; crest 43 m; erosion moved 0.59 m on average, 10345 cells filled), 8.18 s: land 0.237 km², highest 45.0 m; slope flat 53 %, gentle 16 %, moderate 18 %, steep 14 %; pits 7 (0.0/1000, 0 ≥1 m); cliff steps 4.5 %; coast 15374 cells, beach 61 %
phase4b seed 23 (Continent; plains 41 %, hills 38 %, mountains 20 %; cliff coast 28 % at 8.8 m; crest 38 m; erosion moved 0.75 m on average, 12749 cells filled), 8.12 s: land 0.240 km², highest 42.5 m; slope flat 44 %, gentle 17 %, moderate 21 %, steep 17 %; pits 2 (0.0/1000, 0 ≥1 m); cliff steps 5.6 %; coast 13633 cells, beach 52 %
phase4b seed 37 (Continent; plains 42 %, hills 42 %, mountains 16 %; cliff coast 29 % at 8.0 m; crest 59 m; erosion moved 0.83 m on average, 32307 cells filled), 8.02 s: land 0.222 km², highest 55.0 m; slope flat 53 %, gentle 13 %, moderate 15 %, steep 19 %; pits 4 (0.0/1000, 0 ≥1 m); cliff steps 9.0 %; coast 17465 cells, beach 52 %
phase4b seed 58 (Continent; plains 44 %, hills 39 %, mountains 18 %; cliff coast 33 % at 6.4 m; crest 38 m; erosion moved 0.60 m on average, 47419 cells filled), 7.25 s: land 0.265 km², highest 42.5 m; slope flat 54 %, gentle 15 %, moderate 19 %, steep 13 %; pits 1 (0.0/1000, 0 ≥1 m); cliff steps 4.7 %; coast 13802 cells, beach 48 %
